18:05:43.118 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139328877.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.118 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137214620.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/136884628.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/137358393.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137799358.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139309820.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139315742.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138062254.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/138017339.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/137494471.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.119 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/137464868.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.120 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139321182.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.120 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-qsq/139270132.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.120 [main] INFO  Job51JobSpider - 解析页数文件:CityPage/海口/1.json
18:05:43.362 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139351417.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
